Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Fri Jun 21 12:15:19 2019,0,correct,5000,100,500,50,0.1,"[300, 300, 300, 150]",0.1667,1.0729,0.5768,0.4002,0.5341,26.7035,11.1002,56
Fri Jun 21 12:19:43 2019,0,correct,5000,100,500,50,0.2,"[300, 300, 300, 150]",0.0115,1.1172,0.1304,0.0948,0.0323,3.5346,0.3553,60
Fri Jun 21 12:24:05 2019,0,correct,5000,100,500,50,0.4,"[300, 300, 300, 150]",0.0285,0.7054,0.2321,0.1524,0.1789,9.209,3.5327,56
Fri Jun 21 12:25:46 2019,0,"mae, maxae, ae, correct",5000,100,1000,50,0.1,[50],0.6051,1.3859,1.0143,0.7477,-1.0551,-1.0788,-26.8803,56
Fri Jun 21 12:27:23 2019,0,"mae, maxae, ae, correct",5000,100,1000,50,0.2,[50],0.6416,0.6418,1.052,0.7726,-1.0899,-1.0379,-27.3413,43
Fri Jun 21 12:29:01 2019,0,"mae, maxae, ae, correct",5000,100,1000,50,0.4,[50],0.6169,1.1826,1.0262,0.7557,-1.0663,-0.9752,-26.9633,43
Fri Jun 21 12:31:19 2019,9,correct,5000,100,1000,50,0.1,"[50, 50, 50, 150]",0.0503,0.8777,0.2111,0.1855,-0.2352,0.1519,-5.3527,47
Fri Jun 21 12:33:40 2019,5,"mse, mre, rmse, correct",5000,100,1000,50,0.2,"[50, 50, 50, 150]",0.0379,1.7612,0.1844,0.1594,-0.1714,0.7866,-4.5697,56
Fri Jun 21 12:35:56 2019,5,"mse, rmse, correct",5000,100,1000,50,0.4,"[50, 50, 50, 150]",0.0222,1.6447,0.1802,0.13,-0.0032,4.0916,-0.2959,52
Fri Jun 21 12:37:46 2019,6,correct,5000,100,1000,50,0.1,[200],0.1009,1.0949,0.4167,0.306,0.3897,19.4855,7.3694,56
Fri Jun 21 12:39:37 2019,0,"mae, maxae, ae, correct",5000,100,1000,50,0.2,[200],0.5511,2.4706,0.9591,0.7107,-1.0027,-1.0057,-25.4776,56
Fri Jun 21 12:41:27 2019,5,"mse, mre, rmse, correct",5000,100,1000,50,0.4,[200],0.0093,0.7099,0.113,0.0872,0.0035,2.4908,-0.4144,56
Fri Jun 21 12:49:12 2019,5,correct,5000,100,750,50,0.2,[200],0.0505,0.8756,0.2895,0.2099,0.2613,13.0653,4.8458,56
Fri Jun 21 12:51:09 2019,5,correct,5000,100,750,50,0.4,[200],0.0218,1.4356,0.1483,0.1254,-0.1325,0.5785,-3.4202,60
Sat Jul  6 11:21:16 2019,8,correct,5000,50,250,50,0.0,"[50, 50, 150]",0.0202,1.1464,0.1432,0.1223,-0.1262,0.6753,-2.6775,47
Sat Jul  6 11:24:26 2019,9,correct,5000,50,250,50,0.2,"[50, 50, 150]",0.0152,1.2932,0.128,0.1066,-0.0986,0.8109,-2.0563,47
Sat Jul  6 11:27:53 2019,2,"mse, rmse, correct",5000,50,250,50,0.0,"[200, 200, 150]",0.0086,1.8543,0.1121,0.0838,0.0138,2.8202,0.2741,65
Sat Jul  6 11:31:37 2019,1,"mae, maxae, ae, correct",5000,50,250,50,0.2,"[200, 200, 150]",0.0303,1.4169,0.1688,0.1476,-0.1731,0.3769,-3.7289,47
Sat Jul  6 11:34:45 2019,1,"mse, mre, rmse, correct",5000,50,250,50,0.0,"[300, 300, 150]",0.0101,2.8326,0.1128,0.0894,-0.0538,1.2614,-1.2229,47
Sat Jul  6 11:37:01 2019,0,"lincor, mae, maxae, ae, correct",5000,50,250,50,0.2,"[300, 300, 150]",0.0969,0.5464,0.3579,0.2885,-0.3887,-0.20600000000000002,-8.3795,43
Sat Jul  6 11:38:20 2019,5,correct,5000,50,500,50,0.0,"[50, 50, 150]",0.0454,2.3932,0.2015,0.1764,-0.2191,0.2445,-5.0575,47
Sat Jul  6 11:39:40 2019,2,"rmse, correct",5000,50,500,50,0.2,"[50, 50, 150]",0.0174,1.5504,0.1391,0.1096,-0.0486,2.1462,-1.3911,56
Sat Jul  6 11:41:10 2019,1,correct,5000,50,500,50,0.0,"[200, 200, 150]",0.0125,1.0391,0.1272,0.0944,0.0046,2.8075,-0.2988,56
Sat Jul  6 11:42:53 2019,4,"mse, mre, rmse, correct",5000,50,500,50,0.2,"[200, 200, 150]",0.0085,1.236,0.1108,0.0827,0.0021,2.44,-0.0245,56
